sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-03-30;13,30;13,46;13,26;13,60;13,24;13,40;13,332;1281;17078,72;11;
2022-03-29;13,40;13,66;13,20;13,62;13,10;13,62;13,206;2540;33543,04;29;
2022-03-28;13,16;13,20;13,32;13,32;13,04;13,20;13,17;960;12642,84;17;
2022-03-25;13,14;13,22;13,20;13,24;13,20;13,20;13,224;990;13091,44;7;
2022-03-24;13,20;13,24;13,34;13,38;13,22;13,22;13,251;1466;19425,46;11;
2022-03-23;13,20;13,34;13,54;13,54;13,20;13,34;13,349;259;3457,26;12;
2022-03-22;13,20;13,36;13,44;13,44;13,20;13,34;13,263;1311;17387,14;10;
2022-03-21;13,46;13,50;13,44;13,54;13,44;13,44;13,457;611;8222,24;7;
2022-03-18;13,44;13,52;13,48;13,60;13,18;13,44;13,443;3375;45371,2;18;
2022-03-17;13,16;13,30;13,38;13,38;13,28;13,30;13,325;23;306,48;4;
2022-03-16;13,16;13,40;13,34;13,44;13,12;13,40;13,218;17891;236476,96;22;
2022-03-15;12,96;13,12;13,16;13,22;12,96;12,96;13,098;3498;45816,96;36;
2022-03-14;13,22;13,30;12,94;13,44;12,94;13,30;13,13;4572;60029,12;24;
2022-03-11;13,00;13,06;13,00;13,08;12,64;13,06;13,002;1826;23741,76;12;
2022-03-10;12,94;13,00;13,28;13,28;12,94;12,98;13,111;1307;17135,4;20;
2022-03-09;13,14;13,28;12,94;13,38;12,90;13,14;13,043;4930;64303,62;77;
2022-03-08;12,76;12,90;13,04;13,04;12,94;12,94;12,981;68;882,68;5;
2022-03-07;12,50;12,70;12,30;12,92;11,48;12,70;11,966;15109;180797,8;157;
2022-03-04;12,56;12,66;12,86;12,86;12,50;12,60;12,609;1048;13213,8;25;
2022-03-03;12,74;12,90;12,96;13,00;12,90;12,90;12,956;1676;21714,76;24;
2022-03-02;13,14;13,38;12,88;13,26;12,52;13,14;12,805;62297;797703,96;47;
2022-03-01;12,90;13,28;13,10;13,32;12,90;13,30;13,002;1100;14302,28;15;
2022-02-28;12,90;13,00;13,26;13,26;12,90;13,02;13,044;8304;108315,6;58;
2022-02-25;13,26;13,80;12,88;13,84;12,88;13,60;13,114;9372;122902,9;85;
2022-02-24;13,00;13,10;13,10;13,46;12,82;13,00;13,036;7036;91718;83;
2022-02-23;13,50;13,60;13,80;13,80;13,60;13,60;13,715;2796;38345,98;36;
2022-02-22;13,72;13,90;13,30;13,96;13,22;13,90;13,534;4310;58332,96;37;
2022-02-21;13,62;13,86;14,00;14,10;13,52;13,74;13,995;10586;148132,06;62;
2022-02-18;14,00;14,04;13,82;14,20;13,80;14,00;13,998;15445;216204,8;104;
2022-02-17;13,08;13,26;13,30;13,38;13,08;13,16;13,199;5721;75512,86;51;
2022-02-16;13,32;13,46;13,28;13,60;13,28;13,46;13,531;346;4681,7;12;
2022-02-15;13,30;13,46;13,46;13,62;13,24;13,24;13,487;556;7499,02;19;
2022-02-14;13,16;13,28;13,38;13,40;13,02;13,20;13,256;6785;89938,24;71;
2022-02-11;13,40;13,48;13,64;13,64;13,40;13,48;13,479;4552;61354,5;40;
2022-02-10;13,24;13,60;13,90;14,12;13,18;13,76;13,761;5498;75658,46;37;
2022-02-09;13,60;13,80;13,52;13,82;13,38;13,64;13,54;6565;88891,52;41;
2022-02-08;13,28;13,40;13,46;13,46;13,22;13,28;13,308;2662;35427,04;27;
2022-02-07;13,30;13,42;13,54;13,80;13,20;13,36;13,417;2080;27908,02;31;
2022-02-04;13,52;13,70;13,78;13,90;13,50;13,52;13,66;3577;48860,38;39;
2022-02-03;13,72;13,88;14,48;14,48;13,74;13,98;13,989;634;8868,94;16;
2022-02-02;14,00;14,20;14,18;14,20;13,98;13,98;14,115;1286;18151,28;14;
2022-02-01;14,00;14,18;13,98;14,50;13,88;14,18;14,105;2708;38197,34;49;
2022-01-31;13,88;14,06;14,06;14,22;13,74;13,88;13,931;2063;28739,68;28;
2022-01-28;13,52;13,66;14,26;14,26;13,52;13,52;13,792;3426;47249,9;41;
2022-01-27;13,82;14,16;13,80;14,20;13,52;14,20;13,709;4262;58426,44;32;
2022-01-26;13,66;13,80;13,88;13,88;13,62;13,66;13,746;4482;61611,04;44;
2022-01-25;13,42;13,52;13,16;13,58;13,16;13,40;13,383;4199;56194,96;40;
2022-01-24;12,92;13,16;13,36;13,60;12,88;13,16;13,224;11023;145764,54;141;
2022-01-21;13,76;13,90;14,50;14,52;13,50;13,88;13,936;8187;114090,9;134;
2022-01-20;14,54;14,82;14,60;15,00;14,52;14,52;14,768;1896;28000,9;38;
2022-01-19;14,60;14,84;15,10;15,10;14,56;14,60;14,663;3300;48386,9;45;
2022-01-18;14,82;15,00;14,78;15,12;14,50;15,12;14,788;5584;82574,8;48;
2022-01-17;14,60;14,72;14,50;14,72;14,50;14,60;14,631;1589;23248,38;25;
2022-01-14;14,48;14,60;14,66;14,66;14,46;14,46;14,574;1962;28594,7;41;
2022-01-13;14,58;14,66;14,60;14,66;14,48;14,62;14,605;1073;15671,4;13;
2022-01-12;14,56;14,66;14,64;14,66;14,56;14,66;14,651;853;12497,54;13;
2022-01-11;14,50;14,64;14,56;14,68;14,56;14,64;14,625;495;7239,44;11;
2022-01-10;14,30;14,54;14,52;14,58;14,30;14,42;14,43;4557;65755,3;58;
2022-01-07;14,44;14,52;14,40;15,02;14,40;14,52;14,779;6221;91938,88;60;
2022-01-05;14,44;14,68;14,80;14,80;14,32;14,48;14,61;2606;38072,5;41;
